player_name,pid,has_nba_photo,basketball_reference_id,has_basketball_reference_photo,check_error
Richard Jefferson,2210,yes,,,
Rick Fox,296,no,foxri01,yes,
Ricky Davis,1729,no,davisri01,no,
Ricky Rubio,201937,yes,,,
Rik Smits,22,no,smitsri01,yes,
RJ Barrett,1629628,yes,,,
Robert Covington,203496,yes,,,
Robert Horry,109,no,horryro01,yes,
Robert Pack,123,no,packro01,yes,
Robert Parish,305,yes,,,
Robert Williams III,1629057,yes,,,
Rod Strickland,393,yes,,,
Ron Harper,166,no,harpero01,yes,
Ron Mercer,1500,no,mercero01,yes,
Rony Seikaly,938,no,seikaro01,yes,
Roy Hibbert,201579,yes,,,
Roy Tarpley,78293,no,tarplro01,yes,
Rudy Gay,200752,yes,,,
Rudy Gobert,203497,yes,,,
Rui Hachimura,1629060,yes,,,
Russell Westbrook,201566,yes,,,
Ryan Rollins,1631157,yes,,,
Saddiq Bey,1630180,yes,,,
Sam Bowie,76217,no,bowiesa01,yes,
Sam Cassell,208,yes,,,
Sam Perkins,64,no,perkisa01,yes,
Samuel Dalembert,2223,yes,,,
Santi Aldama,1630583,yes,,,
Scott Skiles,101,no,skilesc01,yes,
Scottie Barnes,1630567,yes,,,
Scottie Pippen,937,yes,,,
Sean Elliott,251,no,elliose01,yes,
Sedale Threatt,9,no,threase01,yes,
Serge Ibaka,201586,yes,,,
Shaedon Sharpe,1631101,yes,,,
Shai Gilgeous-Alexander,1628983,yes,,,
Shane Battier,2203,no,battish01,yes,
Shaquille O'Neal,406,yes,,,
Shareef Abdur-Rahim,949,yes,,,
Shawn Bradley,762,yes,,,
Shawn Kemp,431,yes,,,
Shawn Marion,1890,no,mariosh01,yes,
Sherman Douglas,428,yes,,,
Spud Webb,892,no,webbsp01,yes,
Stephen Curry,201939,yes,,,
Stephen Jackson,1536,no,jacksst02,yes,
Stephon Castle,1642264,yes,,,
Stephon Marbury,950,yes,,,
Steve Francis,1883,yes,,,
Steve Nash,959,yes,,,
Steven Adams,203500,yes,,,
Steven Smith,120,yes,,,
T.J. Ford,2551,yes,,,
T.J. Warren,203933,yes,,,
Taj Gibson,201959,yes,,,
Tari Eason,1631106,yes,,,
Tayshaun Prince,2419,yes,,,
Terrell Brandon,210,yes,,,
Terry Cummings,187,no,cummite01,yes,
Terry Mills,371,yes,,,
Terry Porter,345,no,portete01,yes,
Terry Rozier,1626179,yes,,,
Thaddeus Young,201152,yes,,,
Theo Ratliff,689,yes,,,
Tim Duncan,1495,yes,,,
Tim Hardaway,896,no,hardati01,yes,
Tobias Harris,202699,yes,,,
Tom Chambers,1472,no,chambto01,yes,
Tom Gugliotta,339,no,guglito01,yes,
Toni Kukoc,389,yes,,,
Tony Campbell,76338,no,campbto01,no,
Tony Parker,2225,yes,,,
Toumani Camara,1641739,yes,,,
Tracy McGrady,1503,yes,,,
Trae Young,1629027,yes,,,
Tre Jones,1630200,yes,,,
Trevor Ariza,2772,yes,,,
Trey Murphy III,1630530,yes,,,
Tristan Thompson,202684,yes,,,
Troy Murphy,2211,yes,,,
Ty Lawson,201951,yes,,,
Tyler Herro,1629639,yes,,,
Tyreke Evans,201936,yes,,,
Tyrese Haliburton,1630169,yes,,,
Tyrese Maxey,1630178,yes,,,
Tyrone Corbin,895,no,corbity01,yes,
Tyrone Hill,238,no,hillty01,yes,
Tyson Chandler,2199,yes,,,
Victor Oladipo,203506,yes,,,
Victor Wembanyama,1641705,yes,,,
Vin Baker,452,no,bakervi01,yes,
Vince Carter,1713,yes,,,
VJ Edgecombe,1642845,yes,,,
Vlade Divac,124,yes,,,
Walker Kessler,1631117,yes,,,
Walt Williams,1005,yes,,,
Wayman Tisdale,47,no,tisdawa01,yes,
Wendell Carter Jr.,1628976,yes,,,
Willie Cauley-Stein,1626161,yes,,,
Wilson Chandler,201163,yes,,,
Yao Ming,2397,yes,,,
Zach Edey,1641744,yes,,,
Zach LaVine,203897,yes,,,
Zach Randolph,2216,yes,,,
Zion Williamson,1629627,yes,,,
Zydrunas Ilgauskas,980,yes,,,
