personId,firstName,lastName,gamesPlayed,points,assists,reboundsTotal,blocks,steals,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,guard,forward,center,trueShootingAttempts,ts,fantasyPoints,br_id
1628381,John,Collins,176,16.193181818181817,1.5852272727272727,8.818181818181818,1.0511363636363635,0.5681818181818182,1.7045454545454546,11.255681818181818,6.431818181818182,2.0,0.7386363636363636,3.4204545454545454,2.590909090909091,0,1,1,12.76068181818182,0.6344951644789569,34.86647727272727,
201942,DeMar,DeRozan,743,21.22880215343203,3.876177658142665,4.51278600269179,0.3001345895020188,1.0336473755047106,2.1857335127860025,16.66487213997308,7.602960969044415,1.604306864064603,0.4535666218034993,6.695827725437416,5.569313593539704,1,1,0,19.611036339165544,0.5412463111660147,34.77590847913863,
203991,Clint,Capela,332,12.274096385542167,0.9759036144578314,9.765060240963855,1.4789156626506024,0.6897590361445783,1.2409638554216869,8.38855421686747,5.319277108433735,0.0060240963855421,0.0,3.105421686746988,1.6355421686746987,0,0,1,9.754939759036146,0.6291221006348343,34.57831325301205,
203078,Bradley,Beal,545,20.96330275229358,3.98348623853211,3.979816513761468,0.3926605504587156,1.1412844036697247,2.2770642201834863,16.888073394495414,7.636697247706422,5.996330275229358,2.2770642201834863,4.231192660550459,3.412844036697248,1,0,0,18.749798165137616,0.55902742439307,34.48990825688073,
1629627,Zion,Williamson,24,22.5,2.083333333333333,6.25,0.375,0.6666666666666666,2.458333333333333,15.0,8.75,0.5833333333333334,0.25,7.416666666666667,4.75,0,1,0,18.263333333333332,0.6159883190363205,34.25,
201572,Brook,Lopez,621,17.096618357487923,1.4750402576489532,5.85024154589372,1.8067632850241544,0.573268921095008,1.6972624798711755,13.325281803542673,6.52012882447665,2.5378421900161032,0.8663446054750402,4.0450885668276975,3.1900161030595813,0,0,1,15.10512077294686,0.5659212731389681,34.21014492753624,
1628369,Jayson,Tatum,225,17.342222222222222,2.2044444444444444,5.951111111111112,0.7644444444444445,1.1555555555555554,1.737777777777778,13.764444444444443,6.288888888888889,4.542222222222223,1.8222222222222224,3.551111111111111,2.942222222222222,1,1,0,15.326933333333333,0.5657433827452618,33.779999999999994,
201149,Joakim,Noah,453,9.183222958057396,3.487858719646799,9.549668874172186,1.3245033112582782,0.847682119205298,1.8565121412803527,7.30242825607064,3.5275938189845477,0.0309050772626931,0.0,3.050772626931568,2.1280353200883004,0,1,1,8.64476821192053,0.5311433882862454,33.71523178807948,
203506,Victor,Oladipo,421,17.346793349168646,3.907363420427554,4.593824228028503,0.4821852731591449,1.655581947743468,2.5653206650831355,14.489311163895486,6.38479809976247,4.422802850356295,1.546318289786223,3.817102137767221,3.030878859857482,1,0,0,16.168836104513062,0.5364267791769747,33.51900237529691,
2216,Zach,Randolph,529,15.948960302457468,2.0094517958412097,9.563327032136106,0.2457466918714555,0.7391304347826086,1.890359168241966,13.725897920604917,6.502835538752363,0.720226843100189,0.1871455576559546,3.657844990548204,2.7561436672967865,0,1,0,15.335349716446125,0.5200064099403382,33.46691871455577,
203944,Julius,Randle,375,16.085333333333335,2.786666666666666,9.0,0.4746666666666667,0.6613333333333333,2.498666666666667,12.293333333333331,6.064,1.52,0.448,4.848,3.509333333333333,0,1,1,14.426453333333331,0.5574943806932451,33.312,
201586,Serge,Ibaka,735,13.17278911564626,0.8326530612244898,7.546938775510204,2.142857142857143,0.4435374149659864,1.3891156462585037,10.654421768707484,5.461224489795918,2.006802721088435,0.7224489795918367,1.9959183673469387,1.527891156462585,0,1,0,11.532625850340136,0.5711097059156631,33.30952380952381,
101145,Monta,Ellis,537,17.711359404096836,5.048417132216015,3.271880819366853,0.3519553072625698,1.7486033519553073,2.7616387337057726,15.450651769087523,6.767225325884544,3.3854748603351954,1.067039106145251,3.998137802607076,3.1098696461824957,1,0,0,17.209832402234635,0.514570943811082,33.0707635009311,
1626167,Myles,Turner,342,12.728070175438596,1.2309941520467835,6.654970760233918,2.067251461988304,0.7105263157894737,1.3245614035087718,9.956140350877194,4.859649122807017,2.1403508771929824,0.7631578947368421,2.9239766081871346,2.245614035087719,0,1,1,11.242690058479532,0.5660598179453836,33.01900584795322,
1628366,Lonzo,Ball,162,10.728395061728396,6.598765432098766,6.135802469135802,0.6172839506172839,1.5123456790123455,2.6666666666666665,10.537037037037036,4.104938271604938,5.666666666666667,1.932098765432099,1.2037037037037035,0.5864197530864198,1,0,0,11.066666666666666,0.4847166443551986,33.01543209876543,
200752,Rudy,Gay,628,16.95700636942675,2.4410828025477707,6.0812101910828025,0.7085987261146497,1.1847133757961783,2.2197452229299364,14.031847133757962,6.404458598726115,2.9363057324840764,1.019108280254777,3.820063694267516,3.128980891719745,1,1,0,15.712675159235667,0.5395964149191897,32.874203821656046,
