personId,firstName,lastName,gamesPlayed,points,assists,reboundsTotal,blocks,steals,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,guard,forward,center,trueShootingAttempts,ts,fantasyPoints
209,Dell,Curry,695,13.133812949640287,1.9525179856115107,2.7841726618705036,0.24172661870503598,0.9712230215827338,1.3280575539568344,11.277697841726619,5.166906474820144,3.566906474820144,1.4705035971223022,1.581294964028777,1.3294964028776979,1,1,0,11.97346762589928,0.5484548570220007,22.43453237410072
181,Kenny,Smith,513,12.105263157894736,5.015594541910332,1.8187134502923976,0.08187134502923976,0.9473684210526315,2.0409356725146197,9.089668615984406,4.426900584795321,2.7563352826510723,1.1306042884990253,2.473684210526316,2.120857699805068,1,0,0,10.178089668615986,0.5946726523357898,22.391812865497077
296,Rick,Fox,652,10.230061349693251,2.687116564417178,3.647239263803681,0.4401840490797546,1.1226993865030674,1.8006134969325154,8.375766871165645,3.8420245398773005,2.084355828220859,0.7177914110429447,2.3803680981595092,1.8282208588957056,0,1,0,9.423128834355829,0.5428165914698854,22.3819018404908
895,Tyrone,Corbin,728,9.366758241758241,1.831043956043956,4.726648351648351,0.26373626373626374,1.1414835164835164,1.2225274725274726,8.293956043956044,3.712912087912088,0.8708791208791209,0.2692307692307692,2.092032967032967,1.6717032967032968,0,1,0,9.21445054945055,0.5082646106509722,22.379120879120876
1497,Chauncey,Billups,138,11.804347826086957,3.8115942028985508,2.318840579710145,0.14492753623188406,1.2681159420289856,2.1449275362318843,9.746376811594203,3.6594202898550723,4.355072463768116,1.4420289855072463,3.4927536231884058,3.0434782608695654,1,0,0,11.283188405797102,0.5230945102371105,22.362318840579707
192,Dennis,Scott,629,12.868044515103339,2.0588235294117645,2.820349761526232,0.31319554848966613,0.8362480127186009,1.2209856915739268,11.305246422893482,4.709062003179651,4.864864864864865,1.9300476947535772,1.917329093799682,1.5198728139904611,0,1,0,12.148871224165342,0.5295983584675541,22.34260731319555
456,Chuck,Person,623,12.412520064205458,2.4414125200642056,4.154093097913322,0.21669341894060995,0.6163723916532905,1.6902086677367576,11.028892455858747,4.895666131621188,4.168539325842697,1.5329052969502408,1.581059390048154,1.088282504012841,0,1,0,11.724558587479935,0.5293384809156125,22.257624398073837
76631,Mark,Eaton,225,3.7866666666666666,0.48,6.32,2.097777777777778,0.41333333333333333,0.8977777777777778,2.942222222222222,1.5422222222222222,0.0,0.0,1.1066666666666667,0.7022222222222222,0,0,1,3.4291555555555555,0.5521281559438022,22.235555555555557
699,Brent,Barry,312,10.352564102564102,3.0256410256410255,3.092948717948718,0.33974358974358976,1.1378205128205128,1.6474358974358974,8.157051282051283,3.5865384615384617,4.0673076923076925,1.5544871794871795,1.9935897435897436,1.625,1,0,0,9.03423076923077,0.5729632310159364,22.14583333333333
1504,Danny,Fortson,185,9.64864864864865,0.7405405405405405,7.54054054054054,0.3081081081081081,0.5135135135135135,1.627027027027027,6.821621621621621,3.281081081081081,0.032432432432432434,0.005405405405405406,4.102702702702703,3.081081081081081,0,1,1,8.626810810810811,0.5592245419684704,22.1027027027027
